title,info,links,timestamp,status,rating,comment,tags
三体,isbn:9787536692930 pub_year:2008 author:/person/4W1ZA5cx7rOzvHxUBED4xJ,https://neodb.social/book/7OGqnJkxiQZImAxD9aAgMr https://book.douban.com/subject/2567698/ https://www.goodreads.com/book/show/9574008 https://bgm.tv/subject/9585 https://openlibrary.org/books/OL25840916M https://app.thestorygraph.com/books/6e1f9f6b-e236-407f-9408-d56a031e4348,2018-12-02T16:00:00+00:00,complete,10,把文革、游戏、未来结合在一起，不得不佩服,刘慈欣|硬科幻|科幻
三体Ⅲ,isbn:9787229030933 pub_year:2010 author:/person/4W1ZA5cx7rOzvHxUBED4xJ,https://neodb.social/book/5TOECyDkPh16BaEcz2eNgI https://book.douban.com/subject/5363767/ https://bgm.tv/subject/10538 https://www.goodreads.com/book/show/13314298 https://book.douban.com/subject/36874305/ https://www.books.com.tw/products/CN10724605 https://openlibrary.org/books/OL27191056M,2018-12-02T16:00:00+00:00,complete,10,说实话刘慈欣笔下的女性都写的不太好啊我觉得,刘慈欣|硬科幻
哈利·波特与魔法石,isbn:9787020033430 pub_year:2000 author:[英] J·K·罗琳,https://neodb.social/book/2qqxjbLDSy8nA6KcFcIlUy https://book.douban.com/subject/1041007/ https://www.goodreads.com/book/show/636852,2018-12-02T16:00:00+00:00,complete,10,,J.K.罗琳|哈利·波特|外国文学|小说
哈利·波特与凤凰社,isbn:9787020043279 pub_year:2003 author:[英] J·K·罗琳,https://neodb.social/book/0JgKhiuVrepPZZmFLKyHrq https://book.douban.com/subject/1013129/ https://www.goodreads.com/book/show/70363,2018-12-02T16:00:00+00:00,complete,8,翻译错误不少……,J.K.罗琳|哈利·波特|外国文学|小说
哈利·波特与被诅咒的孩子,isbn:9787020120284 pub_year:2016 author:[英] 约翰·蒂法尼//person/7PeUi1cnoC8YPGGsKJq38b/J.K.罗琳,https://neodb.social/book/66F3PLycoKmiRHj2cMRHfJ https://book.douban.com/subject/26871656/ https://www.goodreads.com/book/show/32672170,2018-12-02T16:00:00+00:00,complete,8,"看到JK罗琳就立刻借来读完，但并不是那么好，有一点失望。
---
21.8.18
突然想起来自己很喜欢金妮说的那句话
有时间找找",剧本|哈利·波特|外国文学
哈利·波特与魔法石（纪念版）,isbn:9787020103294 pub_year:2000 author:[英] J. K. 罗琳,https://neodb.social/book/4s17W1Y2EcWb3FAbyir50i https://book.douban.com/subject/26126183/,2018-12-02T16:00:00+00:00,complete,10,,J.K.罗琳|哈利·波特|外国文学|小说
哈利·波特与密室,isbn:9787020103300 pub_year:2000 author:J.K.罗琳 (J.K.Rowling),https://neodb.social/book/6iwyN7Dp9ykD989IVxi0Rv https://book.douban.com/subject/26126497/,2018-12-02T16:00:00+00:00,complete,10,,J.K.罗琳|哈利·波特|外国文学|小说
哈利·波特与死亡圣器,isbn:9787020103355 pub_year:2007 author:J.K.罗琳 (J.K.Rowling),https://neodb.social/book/0xgXnXiO8qL6vp5i34PIvS https://book.douban.com/subject/26126545/,2018-12-02T16:00:00+00:00,complete,10,,J.K.罗琳|哈利·波特|外国文学|小说
哈利·波特与阿兹卡班囚徒,isbn:9787020103317 pub_year:2009 author:J.K.罗琳 (Rowling J.K.),https://neodb.social/book/7OrpKUEMKaf3vGFkOxbEuC https://book.douban.com/subject/26126498/,2018-12-02T16:00:00+00:00,complete,10,,J.K.罗琳|哈利·波特|外国文学|小说
哈利·波特与火焰杯,isbn:9787020103324 pub_year:2001 author:J.K.罗琳 (J.K.Rowling),https://neodb.social/book/3Tdc8TKLk2JGynt0UjKmlG https://book.douban.com/subject/26126139/,2018-12-02T16:00:00+00:00,complete,10,,J.K.罗琳|哈利·波特|外国文学|小说
"哈利·波特与""混血王子""",isbn:9787020103331 pub_year:2005 author:J.K.罗琳 (J.K.Rowling),https://neodb.social/book/18NTVBcjW9MvN3LGl6Vrdr https://book.douban.com/subject/26126522/,2018-12-02T16:00:00+00:00,complete,10,,J.K.罗琳|哈利·波特|外国文学|小说
哈利·波特与凤凰社,isbn:9787020103348 pub_year:2009 author:J.K.罗琳,https://neodb.social/book/4478oKuEHRBQGojB1TR4F8 https://book.douban.com/subject/26126500/,2018-12-02T16:00:00+00:00,complete,8,,J.K.罗琳|哈利·波特|外国文学|小说
三体Ⅱ,isbn:9787536693968 pub_year:2008 author:/person/4W1ZA5cx7rOzvHxUBED4xJ,https://neodb.social/book/71YWWTuNgvwGndv8m8DEBu https://book.douban.com/subject/3066477/ https://www.goodreads.com/book/show/9565614 https://bgm.tv/subject/9586 https://book.douban.com/subject/36874301/ https://openlibrary.org/books/OL25119562M,2021-08-16T16:00:00+00:00,complete,10,,
美丽新世界,isbn:9787532774685 pub_year:2017 author:[英] 赫胥黎,https://neodb.social/book/1kNyIg0YP721lKHoeHlvFE https://books.google.com/books?id=HJJeDwAAQBAJ https://eggplant.place/book/2YDXiUvu2TzVQcvTnI2Wyq https://www.goodreads.com/book/show/40244973 https://book.douban.com/subject/27002046/,2021-08-17T16:00:00+00:00,complete,8,,
我们,isbn:9787564078003 pub_year:2013 author:尤金·扎米亚金,https://neodb.social/book/4SIPoJrGSFdemk2B37PnOH https://book.douban.com/subject/25838428/,2021-08-17T16:00:00+00:00,complete,8,,
奇点遗民,isbn:9787508678764 pub_year:2017 author:[美] 刘宇昆,https://neodb.social/book/7j8QVuJtexUzXKSuW8nsyQ https://book.douban.com/subject/27077140/,2021-08-17T16:00:00+00:00,complete,10,,
肖申克的救赎,isbn:9787020054985 pub_year:2006 author:[美] 斯蒂芬·金,https://neodb.social/book/0VoNDaHX4R29ovDXOAvKC4 https://www.goodreads.com/book/show/34113366 https://book.douban.com/subject/1829226/,2021-08-17T16:00:00+00:00,complete,8,不太喜欢第二个故事,
月亮和六便士,isbn:9787532739547 pub_year:2006 author:[英国] 威廉·萨默塞特·毛姆,https://neodb.social/book/0c7b2tDSC5kU8Nkzr3ZVBh https://book.douban.com/subject/1858513/,2021-08-17T16:00:00+00:00,complete,10,,
小王子,isbn:9787020042494 pub_year:2003 author:[法国] 安东尼·德·圣-埃克苏佩里,https://neodb.social/book/1AT5MpqfRMd4wEeOE1uGIF https://book.douban.com/subject/1084336/ https://eggplant.place/book/21YvUFgEV2CmcWwJLifTyt https://www.goodreads.com/book/show/33550329,2021-08-17T16:00:00+00:00,complete,10,完美的童话,
动物农场,isbn:9787532741854 pub_year:2007 author:[英] 乔治·奥威尔,https://neodb.social/book/70PvDMdEMCLCv0sKKg56aI https://books.google.com/books?id=sXxVHwAACAAJ https://book.douban.com/subject/2035179/,2021-08-17T16:00:00+00:00,complete,10,结局看的背后一凉,
追风筝的人,isbn:9787208061644 pub_year:2006 author:[美] 卡勒德·胡赛尼,https://neodb.social/book/1UBGp593Cb5oNMUANS30Hk https://www.goodreads.com/book/show/6470705 https://book.douban.com/subject/1770782/,2021-08-17T16:00:00+00:00,complete,8,,
嫌疑人X的献身,isbn:9787544241694 pub_year:2008 author:[日本] 东野圭吾,https://neodb.social/book/77JSasU4Y3L4yxZ9PcJ022 https://www.goodreads.com/book/show/12354752 https://book.douban.com/subject/3211779/,2021-08-17T16:00:00+00:00,complete,8,,
白夜行,isbn:9787544258609 pub_year:2013 author:[日] 东野圭吾,https://neodb.social/book/0oH2luJGCafZKSRnQjAArw https://book.douban.com/subject/10554308/ https://www.goodreads.com/book/show/28272471,2021-08-17T16:00:00+00:00,complete,10,,
百年孤独,isbn:9787544253994 pub_year:2011 author:[哥伦比亚] 加西亚·马尔克斯,https://neodb.social/book/4AD6dlBaI5GWtFEWsaPVYl https://www.goodreads.com/book/show/12286254 https://book.douban.com/subject/6082808/,2021-08-17T16:00:00+00:00,complete,8,"2021.8.18
读的时候感觉过于晦涩
以及书中很多细节让人回味
感觉自己还是不太适合啃这种书（捂脸
2022年9月14日重读第二遍
第二遍弄懂了很多东西，不得不感慨作者的伟大…恰到好处的细节和出乎意料又在情理之中的情节",
1984,isbn:9787530210291 pub_year:2010 author:[英] 乔治·奥威尔,https://neodb.social/book/5UZ10zBWMqkIVbzdc1zdVG https://www.goodreads.com/book/show/18003042 https://book.douban.com/subject/4820710/,2021-08-17T16:00:00+00:00,complete,10,,
天气之子,isbn:9787550033566 pub_year:2019 author:[日] 新海诚,https://neodb.social/book/2gXt0XzBOfMz0hicFlwYBF https://book.douban.com/subject/34799480/,2021-08-21T16:00:00+00:00,complete,8,,
言叶之庭,isbn:9787550012295 pub_year:2015 author:[日本] 新海诚,https://neodb.social/book/6ZoCsNh6vgeLdSl8T620jy https://book.douban.com/subject/26314932/,2021-08-21T16:00:00+00:00,wishlist,,,
解忧杂货店,isbn:9787544270878 pub_year:2014 author:[日本] 东野圭吾,https://neodb.social/book/4mfB3oI7xv9BPTtlicoQeG https://www.goodreads.com/book/show/24982941 https://books.google.com/books?id=ljHeoAEACAAJ https://book.douban.com/subject/25862578/,2021-08-21T16:00:00+00:00,complete,8,,
孤独深处,isbn:9787539992761 pub_year:2016 author:郝景芳,https://neodb.social/book/6vRqsoFLMPKEW3ty8lXaXg https://book.douban.com/subject/26791407/ https://www.goodreads.com/book/show/31913881,2021-08-21T16:00:00+00:00,complete,6,,
