title,info,links,timestamp,status,rating,comment,tags
消失的爱人,imdb:tt2267998 year:2014 director:/person/5rx7Bre1IozALhTRqxzZlY,https://neodb.social/movie/0KwCU1TINg9w0Nb54S8ew0 https://www.themoviedb.org/movie/210577 https://movie.douban.com/subject/21318488/ https://www.imdb.com/title/tt2267998/ https://minreol.dk/movie/7db5rnff6imEsoABcxlFYA https://www.wikidata.org/wiki/Q14920425 https://bridge.neodb.net/catalog/movie/imdbId-tt2267998,2021-08-17T16:00:00+00:00,complete,8,,
小森林 夏秋篇,imdb:tt3474600 year:2014 director:/person/00dnXELuYvo6uFs7EjH6OP,https://neodb.social/movie/5g0j79DTH2nRJAMZoopbRP https://www.themoviedb.org/movie/294682 https://www.imdb.com/title/tt3474600/ https://movie.douban.com/subject/25814705/ https://bridge.neodb.net/catalog/movie/imdbId-tt3474600,2021-08-17T16:00:00+00:00,wishlist,,,
小森林 冬春篇,imdb:tt3474602 year:2015 director:森淳一,https://neodb.social/movie/5XFmTaEZMzVc17sTrhJ1mf https://www.themoviedb.org/movie/336026 https://www.imdb.com/title/tt3474602/ https://movie.douban.com/subject/25814707/,2021-08-17T16:00:00+00:00,wishlist,,,
一个叫欧维的男人决定去死,imdb:tt4080728 year:2015 director:汉内斯·赫尔姆,https://neodb.social/movie/2U1Vf9zXPq4ukNgQKKUxGi https://movie.douban.com/subject/26628357/ https://www.imdb.com/title/tt4080728/ https://www.themoviedb.org/movie/348678 https://www.wikidata.org/wiki/Q21935502,2021-08-17T16:00:00+00:00,wishlist,,,
我是山姆,imdb:tt0277027 year:2001 director:杰茜·尼尔森,https://neodb.social/movie/7lUQ4XvJWrthqxy2stxclP https://www.imdb.com/title/tt0277027/ https://eggplant.place/movie/3FimXiOcsTEX7v7fyNiq4I https://www.themoviedb.org/movie/10950 https://www.wikidata.org/wiki/Q640387 https://movie.douban.com/subject/1306861/,2021-08-17T16:00:00+00:00,wishlist,,,
头号玩家,imdb:tt1677720 year:2018 director:/person/10ykAZDpQpdWGZ3vr1O2sO,https://neodb.social/movie/1OaWCbcMzYAp15438lDbjh https://www.imdb.com/title/tt1677720/ https://minreol.dk/movie/6JImvHAcYmabYc6VyO6as2 https://eggplant.place/movie/4kaF9Vj6H2BaTDUj7ygmGn https://movie.douban.com/subject/4920389/ https://neodb.kevga.de/movie/1sOLexrDH1ZFlOt48rOr05 https://www.themoviedb.org/movie/333339 https://www.wikidata.org/wiki/Q22000542 https://bgm.tv/subject/231993 https://bridge.neodb.net/catalog/movie/imdbId-tt1677720,2021-08-17T16:00:00+00:00,wishlist,,,
流浪地球,imdb:tt7605074 year:2019 director:/person/0a4Wwj8myJGbnnabb0koAG,https://neodb.social/movie/6FpTOxsFDSGT97gAIudALr https://www.imdb.com/title/tt7605074/ https://movie.douban.com/subject/26266893/ https://www.themoviedb.org/movie/535167 https://bgm.tv/subject/274128 https://www.wikidata.org/wiki/Q57966215,2021-08-17T16:00:00+00:00,complete,,,
疯狂动物城,imdb:tt2948356 year:2016 director:拜伦·霍华德/瑞奇·摩尔/杰拉德·布什,https://neodb.social/movie/0WgEM5OyiAV60XZsrDyjYd https://www.imdb.com/title/tt2948356/ https://www.themoviedb.org/movie/269149 https://eggplant.place/movie/1Spyw6ihcQxuYalFJFEBW1 https://minreol.dk/movie/5Dl52X93VGto1y7SUP1V4J https://movie.douban.com/subject/25662329/ https://bgm.tv/subject/133860 https://bridge.neodb.net/catalog/movie/imdbId-tt2948356 https://www.wikidata.org/wiki/Q15270647,2021-08-17T16:00:00+00:00,complete,8,,
怦然心动,imdb:tt0817177 year:2010 director:罗伯·莱纳,https://neodb.social/movie/78hXBnbUuPhcRn1igYZF6F https://movie.douban.com/subject/3319755/ https://eggplant.place/movie/3nKGrblQ2CVtCOGGl38I0J https://www.imdb.com/title/tt0817177/ https://www.themoviedb.org/movie/43949 https://www.wikidata.org/wiki/Q1343478,2021-08-17T16:00:00+00:00,complete,,,
寻梦环游记,imdb:tt2380307 year:2017 director:/person/02wZbNdDfli2u8PN0WXROi//person/7REeJLoS302FoSEtPTfvXL,https://neodb.social/movie/3V4pKFHRBYvdsH1HSoe5m3 https://www.imdb.com/title/tt2380307/ https://movie.douban.com/subject/20495023/ https://watch.socialyeti.club/movie/3iFokNLnjH9OEcS1zAWceG https://minreol.dk/movie/1PcvQ2iasHvAnizh3COQOW https://bgm.tv/subject/209925 https://www.themoviedb.org/movie/354912 https://bridge.neodb.net/catalog/movie/imdbId-tt2380307 https://www.wikidata.org/wiki/Q5815826,2021-08-17T16:00:00+00:00,complete,,,
摔跤吧！爸爸,imdb:tt5074352 year:2016 director:涅提·蒂瓦里,https://neodb.social/movie/7YokK8HuhFi8EwCtl7lGM5 https://eggplant.place/movie/6IApLgC7PB98SQE3aNdTHM https://movie.douban.com/subject/26387939/ https://www.themoviedb.org/movie/360814 https://minreol.dk/movie/1WWDpHtcc6zJyYugT0VaXe https://bridge.neodb.net/catalog/movie/imdbId-tt5074352 https://www.wikidata.org/wiki/Q20762668 https://www.imdb.com/title/tt5074352/,2021-08-17T16:00:00+00:00,complete,,,
