title,info,links,timestamp,status,rating,comment,tags
去他*的世界 第二季,imdb:tt8880862 year:2019 season_number:2 director:戴斯特尼·埃卡拉加/露西·福布斯,https://neodb.social/tv/season/72HJDhrt816bT0CwDUGVjD https://movie.douban.com/subject/27625457/ https://www.themoviedb.org/tv/74577/season/2,2021-08-17T16:00:00+00:00,complete,10,,
去他*的世界,imdb:tt6257970 year:2017 director:/person/5FiWW9aAlU7GXWHEv2zjbX,https://neodb.social/tv/6RVeKzVWuWRvGS5C6P6gAT https://www.imdb.com/title/tt6257970/ https://www.themoviedb.org/tv/74577 https://www.wikidata.org/wiki/Q30636463 https://bridge.neodb.net/catalog/tv_show/tmdbId-74577,2021-08-17T16:00:00+00:00,complete,10,,
动物狂想曲,imdb:tt11043632 year:2019,https://neodb.social/tv/6Ge0kzTPYzfUdyXpdAF59Z https://www.wikidata.org/wiki/Q62583787 https://www.themoviedb.org/tv/90937 https://eggplant.place/tv/6o22Nik0JdZHxkxCEutFvD https://bridge.neodb.net/catalog/tv_show/tmdbId-90937 https://www.imdb.com/title/tt11043632/,2021-08-22T16:00:00+00:00,complete,10,,
动物狂想曲 第二季,imdb:tt13405774 year:2021 season_number:2 director:松见真一,https://neodb.social/tv/season/74ZQUjZuJK8tQdhCNcWrBm https://movie.douban.com/subject/34937800/ https://www.themoviedb.org/tv/90937/season/2 https://bgm.tv/subject/297224,2021-08-23T16:00:00+00:00,complete,10,"名为beastar但和beastar一点关系都没有…
结局完全看不够啊 给我出第三季!!",
奇巧出租车,imdb:tt14134550 year:2021,https://neodb.social/tv/1mh6CDuG7AOaavjCYOl3rO https://www.wikidata.org/wiki/Q105965081 https://www.themoviedb.org/tv/116727 https://www.imdb.com/title/tt14134550/ https://bridge.neodb.net/catalog/tv_show/imdbId-tt14134550,2021-12-22T16:00:00+00:00,wishlist,,,
功勋,imdb:tt13885398 year:2021,https://neodb.social/tv/6scbRb82MKHOshrjL93GMk https://www.themoviedb.org/tv/134983 https://www.imdb.com/title/tt13885398/ https://www.wikidata.org/wiki/Q108936301,2021-12-22T16:00:00+00:00,complete,8,看完了袁隆平的部分，感谢班主任,
是，首相  第二季,imdb:tt0751832 year:1987 season_number:2 director:彼得·惠特莫尔/西德尼·洛特比,https://neodb.social/tv/season/0fQpjfT5x16vohy0oKH2IR https://movie.douban.com/subject/5359940/ https://www.themoviedb.org/tv/12597/season/2,2022-01-01T16:00:00+00:00,wishlist,,,
是，大臣,imdb:tt0080306 year:1980 director:Jonathan Lynn/Antony Jay,https://neodb.social/tv/36WIFUVkzWo6vSvTrkfNWs https://www.themoviedb.org/tv/4549 https://www.imdb.com/title/tt0080306/ https://www.wikidata.org/wiki/Q732383,2022-01-01T16:00:00+00:00,wishlist,,,
是，大臣  第二季,imdb:tt0751815 year:1981 season_number:2 director:彼得·惠特莫尔/西德尼·洛特比,https://neodb.social/tv/season/3tHPdzJTtFRjoGxcg73Bvx https://eggplant.place/tv/season/7Y6IhFbXlUDfPSPBxGGdbr https://www.themoviedb.org/tv/4549/season/2 https://movie.douban.com/subject/4933194/,2022-01-01T16:00:00+00:00,wishlist,,,
是，大臣  第三季,imdb:tt0751809 year:1982 season_number:3 director:西德尼·洛特比/彼得·惠特莫尔,https://neodb.social/tv/season/21d5LjWut2RvrSLfkOUbgE https://eggplant.place/tv/season/1z8URNf6wzfwsaIuA5gEF7 https://movie.douban.com/subject/4933235/ https://www.themoviedb.org/tv/4549/season/3,2022-01-01T16:00:00+00:00,wishlist,,,
是，首相,imdb:tt0086831 year:1986 director:Jonathan Lynn/Antony Jay,https://neodb.social/tv/5Mf3Hx3Ese4sOJaIan2eiJ https://www.imdb.com/title/tt0086831/ https://www.wikidata.org/wiki/Q3572208 https://www.themoviedb.org/tv/12597,2022-01-01T16:00:00+00:00,wishlist,,,
瑞克和莫蒂,imdb:tt2861424 year:2013 director:/person/6Y1KjVJrPk7wqJWMZ6scF0//person/1TmEgn4JbfXGmtDtLWJ8LN,https://neodb.social/tv/5uPXMaPaTU0q7P91axFcb0 https://www.themoviedb.org/tv/60625 https://www.wikidata.org/wiki/Q15659308 https://bridge.neodb.net/catalog/tv_show/tmdbId-60625 https://www.imdb.com/title/tt2861424/,2022-01-01T16:00:00+00:00,complete,10,,
赛博朋克：边缘行者,imdb:tt12590266 year:2022 director:/person/5bp058t91vNvuHmOgei3ee,https://neodb.social/tv/3Dqn1qPiRZqmZqUQ0v1GXT https://eggplant.place/tv/051m8TfZS8fGAzJbqLDumP https://www.themoviedb.org/tv/105248 https://www.imdb.com/title/tt12590266/ https://bridge.neodb.net/catalog/tv_show/tmdbId-105248 https://www.wikidata.org/wiki/Q96677963,2022-10-24T16:00:00+00:00,complete,10,"网课两天看完
看的时候心里一直在期望一个大团圆的结局，看完有种怅然若失的感觉
其实细想，这何尝不是一种HE呢，大卫为了自己，也为了别人的梦想拼命到了最后一刻。露西也一定会好好生活下去
只是心疼丽贝卡，心疼那些无辜死去的人
“夜之城没有活着的传奇”
自始至终他们的反抗都没有丝毫地改变夜之城…对大卫所做的只是把他当做一个试验品罢了，亚当重锤也证明了他们的无力
大卫并没有什么特别的能力，但他也是独一无二的传奇
以及音乐和画风都很棒
—————
豆瓣的氛围是什么鬼…",
疯狂动物城+,imdb:tt13622956 year:2022,https://neodb.social/tv/6VWP6HIIxzAgihuOWk2CSQ https://www.wikidata.org/wiki/Q108325631 https://www.themoviedb.org/tv/114463 https://www.imdb.com/title/tt13622956/,2022-11-11T16:00:00+00:00,complete,10,,
孤独摇滚！,imdb:tt17158756 year:2022,https://neodb.social/tv/6ZAS8SyCCyp2MgvL69PAlO https://www.themoviedb.org/tv/119100 https://www.wikidata.org/wiki/Q108230373 https://bridge.neodb.net/catalog/tv_show/imdbId-tt17158756 https://www.imdb.com/title/tt17158756/,2022-12-24T16:00:00+00:00,complete,10,"喜欢凉和虹夏
颜艺看的不尬（点名某某国漫），偶尔突破次元壁插入现实画面，这些地方让人看的很开心
有一种日常番的感觉
推荐所有不开心的人去看!!!",
冰果,imdb:tt2340841 year:2012 director:武本康弘/木上益治/石原立也/山田尚子/石立太一/北之原孝将/坂本一也/小川太一/内海纮子/河浪荣作,https://neodb.social/tv/2wxMqFipwGwHkrEswmD6Ar https://www.themoviedb.org/tv/65329 https://www.imdb.com/title/tt2340841/ https://eggplant.place/tv/6nHsIMQnfdYQuKwBmnP4ms https://www.wikidata.org/wiki/Q99853668,2023-01-27T16:00:00+00:00,complete,10,"心目中的神作
mayaka真的太可爱了呜呜",
樱花庄的宠物女孩,imdb:tt2296348 year:2012,https://neodb.social/tv/3xZm9T5OLsoJeat1KI9R4o https://www.themoviedb.org/tv/50325 https://www.wikidata.org/wiki/Q104626490 https://www.imdb.com/title/tt2296348/,2023-01-27T16:00:00+00:00,complete,10,,
韦恩,imdb:tt7765404 year:2019 director:Shawn Simmons,https://neodb.social/tv/5Y3sjnVfZkVvt7l8k0WLja https://www.wikidata.org/wiki/Q55642654 https://www.imdb.com/title/tt7765404/ https://www.themoviedb.org/tv/84231,2023-02-01T16:00:00+00:00,wishlist,,,
漫长的季节,imdb:tt27628576 year:2023 director:Xin Shuang,https://neodb.social/tv/26GYKoj38q67bNQmVeOpIU https://www.wikidata.org/wiki/Q120971152 https://www.imdb.com/title/tt27628576/ https://www.themoviedb.org/tv/225008,2023-05-06T16:00:00+00:00,wishlist,,,
小明和王猫,year:2000 director:王川,https://neodb.social/tv/season/4NGBrEohmm15BrJBK5YEWI https://movie.douban.com/subject/3060442/,2023-05-31T16:00:00+00:00,wishlist,,,
万神殿 第一季,imdb:tt11680642 year:2022 season_number:1 director:Craig Silverstein,https://neodb.social/tv/season/7Hf4xWhbfQ8qQjTY9RR9Cp https://www.themoviedb.org/tv/195339/season/1 https://eggplant.place/tv/season/5fqLFxULx8LDuUsQvUZFCo https://movie.douban.com/subject/34990593/ https://www.imdb.com/title/tt11680642/,2023-06-10T16:00:00+00:00,wishlist,,,
新世纪福音战士,imdb:tt0112159 year:1995,https://neodb.social/tv/6TNfzQZ1DYzSt0Pc716wQ1 https://www.imdb.com/title/tt0112159/ https://eggplant.place/tv/23WeaXBc6Uceywa5rPVgOC https://www.wikidata.org/wiki/Q662 https://www.themoviedb.org/tv/890,2023-06-12T16:00:00+00:00,complete,10,,
降世神通：最后的气宗 (卷三：火),imdb:tt0967584 year:2007 season_number:3 director:伊桑·斯波尔丁/吉安卡洛·沃尔普/乔伊姆·多斯·桑托斯,https://neodb.social/tv/season/3aH80wk5sX12FLdVlWlWSa https://movie.douban.com/subject/2270295/ https://eggplant.place/tv/season/11OrX7PAsdzg4G02PvMIna https://www.themoviedb.org/tv/246/season/3,2023-06-30T16:00:00+00:00,wishlist,,,
强风吹拂,imdb:tt9402026 year:2018 season_number:1 director:野村和也/板津匡览/江副仁美/佐藤雅子/丝贺慎太郎/镰田祐辅,https://neodb.social/tv/season/5UxdZ3fhCwUYMQl1sesHy4 https://bgm.tv/subject/248154 https://movie.douban.com/subject/30238385/ https://www.themoviedb.org/tv/82766/season/1,2023-07-26T16:00:00+00:00,wishlist,,,
玉子市场,imdb:tt2560604 year:2013,https://neodb.social/tv/1mn1NuIAnKsDkLUTmDhE0r https://www.wikidata.org/wiki/Q211183 https://www.imdb.com/title/tt2560604/ https://www.themoviedb.org/tv/48561 https://eggplant.place/tv/7TBu9QzNTRPNeVnvypeDA3,2023-08-12T16:00:00+00:00,complete,10,,
漂流少年,imdb:tt14642342 year:2021,https://neodb.social/tv/6E4hA1OehyWPqoUiGCS4wZ https://www.wikidata.org/wiki/Q106837406 https://www.imdb.com/title/tt14642342/ https://www.themoviedb.org/tv/124396,2023-08-12T16:00:00+00:00,wishlist,,,
平家物语,imdb:tt15353550 year:2022,https://neodb.social/tv/3HPLRtNnC8IedFYq062WOb https://www.themoviedb.org/tv/132664 https://www.imdb.com/title/tt15353550/ https://www.wikidata.org/wiki/Q108393516,2023-08-22T16:00:00+00:00,wishlist,,,
瑞克和莫蒂 第四季,imdb:tt2861424 year:2019 season_number:4 director:雅各布·海尔/艾丽卡·海斯,https://neodb.social/tv/season/5noZz25nBmIEPMJVGV8cKD https://eggplant.place/tv/season/0uljQJNKO6XouYxJlgNPS3 https://movie.douban.com/subject/27166039/ https://www.themoviedb.org/tv/60625/season/4 https://bgm.tv/subject/246238 https://movie.douban.com/subject/11537954/,2023-08-28T16:00:00+00:00,complete,,,
瑞克和莫蒂 第五季,imdb:tt12396812 year:2021 season_number:5 director:贾斯汀·罗兰,https://neodb.social/tv/season/6gxHyds5NBA9ELZhoPOCVV https://movie.douban.com/subject/34908206/ https://bgm.tv/subject/331936 https://eggplant.place/tv/season/1798Eg2QCWsCH1Xzsd9Jq6 https://www.themoviedb.org/tv/60625/season/5,2023-08-28T16:00:00+00:00,complete,10,,
第1集,imdb:tt4462494 season_number:2 episode_number:1,https://neodb.social/tv/episode/0xeNnoWbtd5BDSLPgGuNtF https://www.imdb.com/title/tt4462494/,2023-08-28T16:00:00+00:00,complete,,,
第1集,imdb:tt5218228 season_number:3 episode_number:1,https://neodb.social/tv/episode/4MqKeWyMaZRPrzjN1A96Qd https://www.imdb.com/title/tt5218228/,2023-08-28T16:00:00+00:00,complete,,,
怪物,imdb:tt0434706 year:2004,https://neodb.social/tv/7N87sBIyRNA8JEN4y4IGL0 https://www.wikidata.org/wiki/Q100944081 https://www.imdb.com/title/tt0434706/ https://www.themoviedb.org/tv/30981 https://bridge.neodb.net/catalog/tv_show/imdbId-tt0434706,2023-09-19T16:00:00+00:00,wishlist,,,
娜娜,imdb:tt0810705 year:2006 director:/person/796cuJqxErGu8dLHBybeEA,https://neodb.social/tv/713ZQiCfHpyOzkn6uKw9qN https://www.wikidata.org/wiki/Q89343467 https://eggplant.place/tv/2x4NXX8Ist239D3nVEo5jd https://www.themoviedb.org/tv/56568 https://www.imdb.com/title/tt0810705/ https://bridge.neodb.net/catalog/tv_show/imdbId-tt0810705,2023-09-19T16:00:00+00:00,wishlist,,,
